'aircraft_carrier': 0.6466165413533834,
'waterslide': 0.4166666666666667,
'underwear': 0.08333333333333333,
'floor_lamp': 0.9,
'toothbrush': 0.09090909090909091,
'diving_board': 0.44881889763779526,
'bush': 0.0,
'calculator': 0.25,
'light_bulb': 0.17842323651452283,
'cooler': 0.3076923076923077,
'dresser': 0.8297872340425532,
'blackberry': 0.7857142857142857,
'stitches': 0.23529411764705882,
'fireplace': 0.8666666666666667,
'pond': 0.28524046434494194,
'string_bean': 0.6142857142857143,
'yoga': 0.2608695652173913,
'triangle': 0.31208053691275167,
'map': 0.3546099290780142,
'picture_frame': 0.13709677419354838,
'headphones': 0.1712707182320442,
'eyeglasses': 0.21686746987951808,
'The_Eiffel_Tower': 0.8130841121495327,
'streetlight': 0.31098696461824954,
'baseball_bat': 0.6,
'square': 0.3194444444444444,
'hot_air_balloon': 0.7969094922737306,
'roller_coaster': 0.5466666666666666,
'palm_tree': 0.6886326194398682,
'wine_glass': 0.6309523809523809,
'flip_flops': 0.3786407766990291,
'garden_hose': 0.3407821229050279,
'cruise_ship': 0.8340807174887892,
'circle': 0.1506849315068493,
'calendar': 0.045454545454545456,
'The_Mona_Lisa': 0.9267015706806283,
'flashlight': 0.019138755980861243,
'snowflake': 0.6148148148148148,
'bulldozer': 0.7758620689655172,
'angel': 0.3551587301587302,
'animal_migration': 0.8211920529801324,
'anvil': 0.19078947368421054,
'birthday_cake': 0.44537815126050423,
'teddy-bear': 0.8372093023255814,
'camouflage': 0.5555555555555556,
'carrot': 0.7056603773584905,
'ceiling_fan': 0.631578947368421,
'chandelier': 0.631578947368421,
'clarinet': 0.4157303370786517,
'coffee_cup': 0.5351351351351351,
'cookie': 0.5555555555555556,
'crayon': 0.42105263157894735,
'crown': 0.4691358024691358,
'fire_hydrant': 0.6896551724137931,
'firetruck': 0.7604456824512534,
'flying_saucer': 0.2768595041322314,
'goatee': 0.4418604651162791,
'golf_club': 0.39076923076923076,
'hexagon': 0.575,
'hockey_stick': 0.5979381443298969,
'hospital': 0.14,
'house_plant': 0.6442307692307693,
'jail': 0.4074074074074074,
'matches': 0.21428571428571427,
'mermaid': 0.6565656565656566,
'moustache': 0.12558139534883722,
'octagon': 0.10526315789473684,
'paint_can': 0.48255813953488375,
'pants': 0.3858267716535433,
'paper_clip': 0.45535714285714285,
'passport': 0.38235294117647056,
'pliers': 0.5119453924914675,
'police_car': 0.7126436781609196,
'postcard': 0.056818181818181816,
'power_outlet': 0.6666666666666666,
'raccoon': 0.8072289156626506,
'sandwich': 0.7122302158273381,
'sea_turtle': 0.8878048780487805,
'see_saw': 0.3253012048192771,
'shorts': 0.40372670807453415,
'sink': 0.23404255319148937,
'skull': 0.7354497354497355,
'smiley_face': 0.6493506493506493,
'spreadsheet': 0.8529411764705882,
'squiggle': 0.16468842729970326,
'stairs': 0.2962962962962963,
'steak': 0.52,
'stop_sign': 0.4367816091954023,
'tennis_racquet': 0.8888888888888888,
'The_Great_Wall_of_China': 0.7358490566037735,
'toothpaste': 0.4838709677419355,
'cactus': 0.5491803278688525,
'wristwatch': 0.8888888888888888,
'zigzag': 0.5181818181818182,

Overall:0.4877
