'aircraft_carrier': 0.6507936507936508,
'stereo': 0.5333333333333333,
'waterslide': 0.17391304347826086,
'underwear': 0.6818181818181818,
'floor_lamp': 0.3776978417266187,
'toothbrush': 0.4553191489361702,
'diving_board': 0.5492957746478874,
'bush': 0.012779552715654952,
'calculator': 0.8115942028985508,
'light_bulb': 0.7086419753086419,
'cooler': 0.14444444444444443,
'dresser': 0.23076923076923078,
'blackberry': 0.31666666666666665,
'stitches': 0.23529411764705882,
'fireplace': 0.3983739837398374,
'pond': 0.18947368421052632,
'string_bean': 0.5735294117647058,
'yoga': 0.3904382470119522,
'triangle': 0.48514851485148514,
'map': 0.6528497409326425,
'picture_frame': 0.391304347826087,
'headphones': 0.8457446808510638,
'eyeglasses': 0.4885844748858447,
'The_Eiffel_Tower': 0.9456521739130435,
'streetlight': 0.664179104477612,
'baseball_bat': 0.7295918367346939,
'square': 0.055020632737276476,
'hot_air_balloon': 0.8470588235294118,
'roller_coaster': 0.36065573770491804,
'palm_tree': 0.7951807228915663,
'wine_glass': 0.7795918367346939,
'flip_flops': 0.6,
'garden_hose': 0.2261904761904762,
'cruise_ship': 0.8481012658227848,
'circle': 0.22772277227722773,
'calendar': 0.4915254237288136,
'The_Mona_Lisa': 0.7172413793103448,
'flashlight': 0.5473684210526316,
'snowflake': 0.5543478260869565,
'bulldozer': 0.457286432160804,
'angel': 0.4214046822742475,
'animal_migration': 0.8571428571428571,
'anvil': 0.7472527472527473,
'birthday_cake': 0.6995708154506438,
'teddy-bear': 0.7394957983193278,
'camouflage': 0.2608695652173913,
'carrot': 0.20588235294117646,
'ceiling_fan': 0.48,
'chandelier': 0.3235294117647059,
'clarinet': 0.3939393939393939,
'coffee_cup': 0.7272727272727273,
'cookie': 0.36363636363636365,
'crayon': 0.0035087719298245615,
'crown': 0.6931818181818182,
'fire_hydrant': 0.7297297297297297,
'firetruck': 0.4176829268292683,
'flying_saucer': 0.7883211678832117,
'goatee': 0.6438356164383562,
'golf_club': 0.13093525179856116,
'hexagon': 0.7327586206896551,
'hockey_stick': 0.5126050420168067,
'hospital': 0.375,
'house_plant': 0.4807692307692308,
'jail': 0.44680851063829785,
'matches': 0.48214285714285715,
'mermaid': 0.47368421052631576,
'moustache': 0.5046728971962616,
'octagon': 0.3333333333333333,
'paint_can': 0.4117647058823529,
'pants': 0.6911764705882353,
'paper_clip': 0.42016806722689076,
'passport': 0.35051546391752575,
'pliers': 0.5521472392638037,
'police_car': 0.6134453781512605,
'postcard': 0.2653061224489796,
'power_outlet': 0.15789473684210525,
'raccoon': 0.5402298850574713,
'sandwich': 0.4015151515151515,
'sea_turtle': 0.7874015748031497,
'see_saw': 0.2023121387283237,
'shorts': 0.31947069943289225,
'sink': 0.27370689655172414,
'skull': 0.5683333333333334,
'smiley_face': 0.1655328798185941,
'spreadsheet': 0.4771048744460857,
'squiggle': 0.29411764705882354,
'stairs': 0.4990476190476191,
'steak': 0.3907563025210084,
'stop_sign': 0.3486238532110092,
'tennis_racquet': 0.8811881188118812,
'The_Great_Wall_of_China': 0.6486486486486487,
'toothpaste': 0.29292929292929293,
'cactus': 0.47540983606557374,
'wristwatch': 0.6919642857142857,
'zigzag': 0.5277777777777778,

Overall:0.5334
