'aircraft_carrier': 0.42045454545454547,
'waterslide': 0.04878048780487805,
'underwear': 0.1864406779661017,
'floor_lamp': 0.07,
'toothbrush': 0.06294964028776978,
'diving_board': 0.8333333333333334,
'bush': 0.0,
'calculator': 0.39285714285714285,
'light_bulb': 0.6162162162162163,
'cooler': 0.047619047619047616,
'dresser': 0.17391304347826086,
'blackberry': 0.03271028037383177,
'stitches': 0.021052631578947368,
'fireplace': 0.1326530612244898,
'pond': 0.09722222222222222,
'string_bean': 0.2413793103448276,
'yoga': 0.16554809843400448,
'triangle': 0.5164835164835165,
'map': 0.49029126213592233,
'picture_frame': 0.05,
'headphones': 0.14285714285714285,
'eyeglasses': 0.288135593220339,
'The_Eiffel_Tower': 0.7421052631578947,
'streetlight': 0.24778761061946902,
'baseball_bat': 0.35127478753541075,
'square': 0.014218009478672985,
'hot_air_balloon': 0.7916666666666666,
'roller_coaster': 0.32608695652173914,
'palm_tree': 0.2779783393501805,
'wine_glass': 0.37738853503184716,
'flip_flops': 0.20754716981132076,
'garden_hose': 0.1875,
'cruise_ship': 0.7340425531914894,
'circle': 0.1693548387096774,
'calendar': 0.09259259259259259,
'The_Mona_Lisa': 0.6964285714285714,
'flashlight': 0.12903225806451613,
'snowflake': 0.07317073170731707,
'bulldozer': 0.6181818181818182,
'angel': 0.0,
'animal_migration': 0.20588235294117646,
'anvil': 0.0,
'birthday_cake': 0.37681159420289856,
'teddy-bear': 0.6388206388206388,
'camouflage': 0.3333333333333333,
'carrot': 0.350597609561753,
'ceiling_fan': 0.031746031746031744,
'chandelier': 0.0,
'clarinet': 0.72,
'coffee_cup': 0.38219895287958117,
'cookie': 0.32051282051282054,
'crayon': 0.3902439024390244,
'crown': 0.23529411764705882,
'fire_hydrant': 0.23728813559322035,
'firetruck': 0.6410256410256411,
'flying_saucer': 0.375,
'goatee': 0.4025423728813559,
'golf_club': 0.3076923076923077,
'hexagon': 0.8093922651933702,
'hockey_stick': 0.350253807106599,
'hospital': 0.1875,
'house_plant': 0.5616438356164384,
'jail': 0.038461538461538464,
'matches': 0.05263157894736842,
'mermaid': 0.23333333333333334,
'moustache': 0.14285714285714285,
'octagon': 0.1565217391304348,
'paint_can': 0.07142857142857142,
'pants': 0.2138728323699422,
'paper_clip': 0.24,
'passport': 0.075,
'pliers': 0.18461538461538463,
'police_car': 0.4117647058823529,
'postcard': 0.5405405405405406,
'power_outlet': 0.19736842105263158,
'raccoon': 0.2916666666666667,
'sandwich': 0.38181818181818183,
'sea_turtle': 0.26842105263157895,
'see_saw': 0.5357142857142857,
'shorts': 0.2413793103448276,
'sink': 0.25,
'skull': 0.27586206896551724,
'smiley_face': 0.3695652173913043,
'spreadsheet': 0.6297229219143576,
'squiggle': 0.043478260869565216,
'stairs': 0.32978723404255317,
'steak': 0.1638888888888889,
'stop_sign': 0.24074074074074073,
'tennis_racquet': 0.5384615384615384,
'The_Great_Wall_of_China': 0.775,
'toothpaste': 0.11538461538461539,
'cactus': 0.3611111111111111,
'wristwatch': 0.27872340425531916,
'zigzag': 0.16747572815533981,

Overall:0.2588
