'underwear': 0.5177865612648221,
'floor_lamp': 0.7333333333333333,
'toothbrush': 0.33962264150943394,
'diving_board': 0.24725274725274726,
'bush': 0.13043478260869565,
'calculator': 0.509090909090909,
'light_bulb': 0.6666666666666666,
'cooler': 0.19626168224299065,
'dresser': 0.4634146341463415,
'blackberry': 0.22641509433962265,
'stitches': 0.11165048543689321,
'fireplace': 0.6811594202898551,
'pond': 0.21904761904761905,
'string_bean': 0.4244604316546763,
'yoga': 0.6181818181818182,
'triangle': 0.7103825136612022,
'map': 0.38095238095238093,
'picture_frame': 0.38636363636363635,
'headphones': 0.6280701754385964,
'eyeglasses': 0.6119402985074627,
'The_Eiffel_Tower': 0.9210526315789473,
'streetlight': 0.6441717791411042,
'baseball_bat': 0.6320754716981132,
'square': 0.1901840490797546,
'hot_air_balloon': 0.9444444444444444,
'roller_coaster': 0.25874125874125875,
'palm_tree': 0.8615384615384616,
'wine_glass': 0.8227272727272728,
'flip_flops': 0.8843537414965986,
'garden_hose': 0.4013605442176871,
'cruise_ship': 0.7644230769230769,
'circle': 0.4371859296482412,
'calendar': 0.48484848484848486,
'The_Mona_Lisa': 0.6733333333333333,
'flashlight': 0.4117647058823529,
'snowflake': 0.84,
'bulldozer': 0.7027027027027027,
'angel': 0.12121212121212122,
'animal_migration': 0.8765957446808511,
'anvil': 0.6721311475409836,
'birthday_cake': 0.8848484848484849,
'teddy-bear': 0.9354838709677419,
'camouflage': 0.5027624309392266,
'carrot': 0.5961538461538461,
'ceiling_fan': 0.45714285714285713,
'chandelier': 0.7713004484304933,
'clarinet': 0.4392523364485981,
'coffee_cup': 0.5210084033613446,
'cookie': 0.6597938144329897,
'crayon': 0.2978723404255319,
'crown': 0.6009615384615384,
'fire_hydrant': 0.7651006711409396,
'firetruck': 0.7724550898203593,
'flying_saucer': 0.5793991416309013,
'goatee': 0.4588235294117647,
'golf_club': 0.18357487922705315,
'hexagon': 0.7040816326530612,
'hockey_stick': 0.6903225806451613,
'hospital': 0.35789473684210527,
'house_plant': 0.76,
'jail': 0.5480769230769231,
'matches': 0.35,
'mermaid': 0.4444444444444444,
'moustache': 0.6126126126126126,
'octagon': 0.1724137931034483,
'paint_can': 0.45,
'pants': 0.125,
'paper_clip': 0.7377049180327869,
'passport': 0.8076923076923077,
'pliers': 0.631578947368421,
'police_car': 0.7692307692307693,
'postcard': 0.4065934065934066,
'power_outlet': 0.68,
'raccoon': 0.3048128342245989,
'sandwich': 0.5502645502645502,
'sea_turtle': 0.6864406779661016,
'see_saw': 0.5785953177257525,
'shorts': 0.6571428571428571,
'sink': 0.5413533834586466,
'skull': 0.6404494382022472,
'smiley_face': 0.8230088495575221,
'spreadsheet': 0.5133689839572193,
'squiggle': 0.4864864864864865,
'stairs': 0.6010362694300518,
'steak': 0.4645161290322581,
'stop_sign': 0.4260355029585799,
'tennis_racquet': 0.8449197860962567,
'The_Great_Wall_of_China': 0.646551724137931,
'toothpaste': 0.45714285714285713,
'cactus': 0.5630252100840336,
'wristwatch': 0.6877192982456141,
'zigzag': 0.6687306501547987,

Overall:0.5720
